text,predicted_aspect,aspect_confidence,predicted_sentiment,sentiment_confidence,prob_negative_1,prob_negative_2,prob_neutral,prob_positive,prob_very_negative
layanan tokopedia card sangat buruk tagihan sudah terbayar lunas melalui brimo namun tagihan tetap berjalan dan terkena pinalti pihak tokopedia juga tidak menyediakan live chat sehingga permasalahan ini tidak bisa selesai uang cicilan yang saya bayarkan pun tidak dikembalikan padahal sebelumnya sudah lunas,tidak terdeteksi,0.0,positive,0.9988734126091003,0,0,0.00027661063359119,0.9988734126091003,0
tolong perbaiki hampir setiap kali sy mau masuk ke tokopedia susah nya minta ampun pas udah masuk selalu tokopedia keluar sendir lebih dari kalii tokopedia selalu tidak menanggapi padahal jaringan kenceng sinyal kenceng ampe capek sendiri suka kesel sendiri karena selalu keluar sendiri tolong perbaiki,tidak terdeteksi,0.0,positive,0.9948770403862,0,0,0.001779601676389575,0.9948770403862,0
tolong untuk tokopedia tambahkan fitur untuk pembatalan order po karena saya merasa sangat tertipu saya pesan barang saat cekout barang toko tidak mencantumkan deskripsi bahwa barang itu barang po bukan barang readystock setelah saya bayar saya masih belum tau bahwa itu po saat barang pesanan saya yg lain sudah sampai saya baru tahu klo ini barang po saya komplain ke toko tapi dibalas hanya oleh bot saya ajukan komplain juga masih tidak di terima,produk,0.5,positive,0.9990326166152954,0,0,0.00044424738734960556,0.9990326166152954,0
dulunya tokopedia imagenya barangnya asli tapi sekarang ini tokopedia malah menyediakan ruang bagi penjual seperti imani home yang mencoreng nama aplikasi tokopedia karena pengalaman saya membeli meja utk kerja di laptop specnya yg dikirim berbeda sama sekali saya tanya ke penjualnya tdk ada solusi utk hal itu hanya kata maaf yg keluar dari penjualakhirnya saya meminta pengembalian dana dan barang ke tokopedia saya berharappengembalian dana tersebut dikembalikan ke rekening saya,pengiriman,0.4,positive,0.9919242262840271,0,0,0.0015034256502985954,0.9919242262840271,0
aneh banget aplikasinya voucher pengguna baru gabisa dipake pas ditanya ke cs nya katanya voucher saya tidak berlaku padahal baru banget daftar hp baru nomor jg baru saya tanya alasan kenapa tidak bisa di gunakan dia cuma bales alasannya tidak bisa di sampaikan nyeselll downloadnya aplikasi sampah harga jg mahal daripada shopee pantesan ramean shopee daripada tokped cs nya aja tidak becus gitu,harga,0.6,positive,0.9991984963417053,0,0,0.0003402788133826107,0.9991984963417053,0
saya mau menambahkan alamat baru saat proses ingin menambahkan di minta untuk lengkapi kode pos tapi kolom tempat pengisiannya tidak ada alhasil engga bisa menambahkan alamat baru tolong dong aplikasinya di perbaiki lagi hal ini sangat menyulitkan dan merepotkan pengguna,pengiriman,0.5,positive,0.9957399368286133,0,0,0.0021181560587137938,0.9957399368286133,0
akhir ini aplikasi koq lemot bener perangkat hp jauh lebih tinggi dari yg dibutuhkan jaringan udah pake wifi mb kyanya ini masalah dengan servernya beda banget dgn yg orange buka apapun satset klo mau belanja aja sulit bakalan hijrah kesebalah org,sistem aplikasi,1.0,positive,0.9986748695373535,0,0,0.0003203995293006301,0.9986748695373535,0
tokopedia ini marketplace terburuk di antara marketplace yg lain jika kita berjualan di tokped ini akun kita tanpa sengaja membuat pelanggaran walaupun ringan tidak ada ampun tidak ada kesempatan untuk menebus kesalahan walaupun kesalahannya tidak disengaja seumur hidup akun kita terus dikuntit ditandai distiigma sebagai akun yg pernah membuat pelanggaran dibatasi pergerakan selamalamanya termasuk promo pembelian alhamdulillaah saya telah pindah marketplace lain yg tdk pendendam,pengiriman,0.6666666666666666,positive,0.998826801776886,0,0,0.00018436402024235576,0.998826801776886,0
udah sebulan lebih error kesalahan pada server dengan kode error awalan io muncul di halaman promo dan voucher ketika klaim voucher manapun login akun dengan metode apapun gagal kirim kode verifikasi ke whatsapp halaman checkout dan pembayaran barang fisik dan digital hampir tidak bisa apaapa tokped care nyaranin clear cache malah jadi tidak bisa login akun sama sekali pake internet yang beda tidak ngaruh install ulang app masih error sumpah gak ada fungsinya lagi ini aplikasi,sistem aplikasi,0.5454545454545454,positive,0.9978426694869995,0,0,0.0008290092227980494,0.9978426694869995,0
bertahuntahun pakai tokopedia dan memang saya gak mau belanja di marketplace lainnya karena tokopedia karya anak bangsatetapi sejak dari kemarin kok jadi error kemarin update terbaru tetapi setelah update malahan errorsetiap mau pembayaran yang ada cuma metode bank sedangkan gopay gak bisa diklikkan aneh harus hapus data dulu baru muncul metode pembayaran yang lain seperti gopay bisa diklik tetapi tetep aja kumat lagi harus hapus data lagi biar bisa muncul metode pembayaran gopay,sistem aplikasi,1.0,positive,0.9963082075119019,0,0,0.0010632567573338747,0.9963082075119019,0
aplikasi nya bagus tapi tolong tuh ongkirnya tidak usah mahal bangt bisa tidak si di turunin lagi biaya ongkirnya padahal ni aplikasi bagus buat belanja pantesan aja aplikasi ini sudah banyak di tinggal semua padah pindah ke app oren di oren ongkir nya murah murah lagi,harga,0.5714285714285714,positive,0.9466042518615723,0,0,0.044854871928691864,0.9466042518615723,0
pengantarannya lama sekalipun sudah pilih yang instan tapi tetap di luar estimasi alasannya karena tempatku jauh padahal rumahku di dekat pusat kota semarang ketika paket belum sampai hanya diberi permintaan maaf dan estimasi tiba yang terus diundur tanpa memberikan solusi yang pasti,pengiriman,1.0,positive,0.9989064931869507,0,0,0.0005157215055078268,0.9989064931869507,0
yaelah pesanan di cancel malah uangnya jadi saldo tokopedia gak bisa bayar apapun kecuali di aplikasi mau di tarik wajib lewat bank gak bisa e wallet nyusahin yg gak pake rekening kocak shopee noh uang yang refund bisa bebas di pakai bayar qris atau apa kek gak bikin saldo kejebak gitu mau diabisin di tokopedia pun diskonnya pelit minta ampun bisa beda setengah juta sama aplikasi lain padahal yang jual sama aplikasinya beda,harga,0.5,positive,0.9992794394493103,0,0,0.00029826140962541103,0.9992794394493103,0
tolong ubah akun tokopedia saya yang terdaftar dengan email ini jadi unlimited cod karena saya suka belanja hanya bisa pake fitur cod x perminggu itu kurang agak shock karena saya dulunya pelanggan shopee cod nya gak dibatasin ternyata di tokopedia dibatasin x perminggu,tidak terdeteksi,0.0,negative,0.9718871712684631,0,0,0.023213732987642288,0.004899050109088421,0
achir ini tokopedia menawarkan barang dengan harga akal an yg tidak sehat saya membeli barang karena harganya murah dan katanya bebas ongkir misalnya rpsetelah masuk keranjang dan mau checkoutharga berubah jadi rpmemang cuma beda ttp sangat menjengkelkan kalau belinya berarti sdh kemahalan sebaiknya tokopedia menghentikan cara yg tidak baik inise olah bebas ongkir ternyata sebetulnya kita juga yg bayar mohon diperhatikan,harga,0.6666666666666666,positive,0.9987887740135193,0,0,0.0007585673010908067,0.9987887740135193,0
aplikasi belanja yang bobrok tidak kaya oren selain estimasi dateng nya tidak jelas dan terlalu lama menurut saya aplikasi belanjaa ini sangat tidak rekomend kecewa sama estimasi pengiriman nya selain itu voucher pengguna baru juga tidak bisa dipakai dan harga menjadi harga normal terbilang cukup mahal dari harga toko asli aplikasi belanja terburuk,harga,0.5,positive,0.9993507266044617,0,0,0.00017203060269821435,0.9993507266044617,0
