text,predicted_aspect,aspect_confidence,predicted_sentiment,sentiment_confidence,prob_negative_1,prob_negative_2,prob_neutral,prob_positive,prob_very_negative
aplikasi nya sudah sangat membantu untuk membeli barang tanpa harus keluar rumah tapi masih banyak kekurangan yang pertama barang yang muncul di konten video tidak sesuai dengan produk aslinya yang kedua terlalu banyak iklan shopee di aplikasi pihak lain ini sangat mengganggu kenyamanan orang iklan shopee selalu tidak muncul tanda silang untuk melewati iklan teresbut dan terkadang saya selalu masuk pada app shopee secara tiba tiba pada iklan,produk,0.6,negative_2,0.9876052141189575,0.010002325288951397,0.9876052141189575,0.0003357986861374229,0.00044657953549176455,0.0016101398505270481
notifikasinya dibenerin dong sering muncul pesanan dikirim waktu dipencet malah kebuka barang seakan notif iklan sedangkan notif pesanan asli malah gak ada notifikasinya udah dimatiin pengaturan notif hiburan media sosial dan promosi di aplikasi malah tetap muncul sedangkan notif pesanan keuangan dan chat yang aktif malah gak menerima notifnya,harga,0.25,negative_2,0.9905897378921509,0.00633652787655592,0.9905897378921509,0.00024661028874106705,0.0007543234969489276,0.002072783885523677
saya suka dengan gratis ongkir dan diskon tapi kenapa sekarang harus ada iklan video otomatis putar saat membuka aplikasi shopee ini sangat menyebalkan saya kasih bintang tidak masalah dengan iklan video saat buka aplikasi tapi harusnya ada fitur on off putar otomatis saat di tempat tertentu iseng buka aplikasi shopee tiba ada suara kenceng dr iklan video kan jadi tidak nyaman,harga,0.75,negative_2,0.9685556292533875,0.02795289270579815,0.9685556292533875,0.00025072466814890504,0.0006069866940379143,0.002633725991472602
udah pake dari lama tapi makin kesini entah kenapa tiap kali pembelian bundling selalu berkurang buah ilang ditengah jalan dengan penjual yg sama g ngerti lgi deh apa ada jatah maksimal pengiriman shg berkurang terus beneran ilang doang tiap kali pesan mana yg diambil selalu yg paling mahal lagi dari tiap pesanan sungguh ooh dan lgi penilaiannya error soalnya cm bisa nilai item aja dari pembelian bundling itu abis itu yg lain g bisa dong diketik,pengiriman,0.5,neutral,0.6569103002548218,0.0007133417529985309,0.09161841869354248,0.6569103002548218,0.24246850609779358,0.008289403282105923
suka banget aplikasinya banyak gratis ongkir nya juga sama produk nya berbagai macam pilihan tapi menurut ku pengiriman harus lebih baik sih kadang belanja kan yg dari luar pulau katanya butuh waktu sampai hari via laut tapi malah kadang hari via laut belum lagi via darat jadi lama bangeet,pengiriman,0.42857142857142855,negative_1,0.9987412095069885,0.9987412095069885,0.000761481118388474,0.0001473292795708403,0.00011059263488277793,0.00023946833971422166
aplikasinya lelet sekali dibagian menu dan profil tapi klw video promosi barang pas buka aplikasi langsung putar tanpa gangguan biaya pengiriman tetap aja mahal ke ntt yg buat malas belanja karena biaya pengiriman lebih mahal dari barang yang ingin dibeli,harga,0.5,positive,0.8209043145179749,0.0009448207565583289,0.08610041439533234,0.08776671439409256,0.8209043145179749,0.004283740650862455
jelek banget sekarang ui jelek kebanyakan game ga penting bikin berat kalau ada iklan shopee di aplikasi lain selalu ke direct ke shp padahal ga mencet iklannya dan loading nya lama banget yang paling bikin kecewa kenapa sekarang estimasi paket sampai bisa tiba tiba berubah estimasi awal tgl hari berikutnya malah mundur padahal status paket dikirim saya pesang barang urgent jadi sengaja pilih toko terdekat yang estimasi sampai sebelum hari yang saya butuhkah malah mundur kan,pengiriman,0.4444444444444444,positive,0.990182101726532,0.0007029153639450669,0.004286641720682383,0.0035295893903821707,0.990182101726532,0.0012987625086680055
untuk shoope food jelek saya tidak bisa membatalkan pesanan padahal tidak sampai mnit pas konfirmasi saya batalkan karena harga yang di konfirmasi beda dengan harga saat sudah di pesan aneh banget untuk saat ini saya kecewa karna saya harus pinjam uang dulu untuk lebihnya,harga,0.3333333333333333,positive,0.9614083766937256,0.0008284554351121187,0.020110927522182465,0.01606752723455429,0.9614083766937256,0.0015846460592001677
jadi sarang penipuan banyak barang yg tidak sesuai dgn yg ditampilkan dan juga masalah iklan iklan ada dimana mana diaplikasi lain banyak sekali walaupun tidak dipencet itu akan berpindah ke shopee sendiri saat diberanda juga tiba tiba masuk ke aplikasinya sangat mengganggu,produk,0.6666666666666666,negative_2,0.99062180519104,0.006824229843914509,0.99062180519104,0.0003108812670689076,0.0007605163264088333,0.0014825065154582262
cukup kecewa sama shopee ternyata pihak shopee lepas tangan jika customer ada kendala dan mengalami penipuan oleh seller tidak ada tindaklanjut hanya lipservice saja statment yg keluar harusnya bisa lakukan crosscheck ke pihak seller nya apakah benar hal tsb dan lakukan pembekuan akun karna hal tsb dapat merugikan customer lainnya pihak shopee malah memberikan solusi di kembalikan kepada kedua belah pihak mau seperti apa sementara seller tidak respond parahhhhh shopee kecewa banget saya,produk,1.0,positive,0.9917811751365662,0.00024344785197172314,0.003319536102935672,0.003488042624667287,0.9917811751365662,0.0011678761802613735
